               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082039,            0.034451,                   0,           0.0056356,                   1,           0.0058187,           0.0011637,            0.027417,            0.027474,                   0,                   0,                   0,                 0.1
                   1,            0.072466,            0.031573,                   0,           0.0046924,                   1,           0.0052094,           0.0010419,            0.027546,            0.026428,                   0,           9.967e-05,           9.967e-05,              0.0991
                   2,            0.084925,            0.027586,                   0,           0.0049227,                   1,            0.004975,            0.000995,            0.027871,            0.026182,                   0,          0.00019868,          0.00019868,            0.098199
                   3,            0.079072,            0.034231,                   0,           0.0047062,                   1,           0.0049257,          0.00098515,              0.0285,            0.025897,                   0,          0.00029703,          0.00029703,            0.097297
                   4,            0.080448,            0.031433,                   0,           0.0049139,                   1,           0.0049257,          0.00098515,            0.028793,            0.025668,                   0,          0.00039472,          0.00039472,            0.096395
                   5,            0.079911,            0.032205,                   0,            0.004586,                   1,            0.004975,           0.0014925,            0.029026,            0.025444,                   0,          0.00049175,          0.00049175,            0.095492
                   6,            0.079914,            0.032937,                   0,            0.004878,                   1,           0.0052926,           0.0015878,            0.029228,            0.025186,                   0,          0.00058812,          0.00058812,            0.094588
                   7,            0.078291,            0.032624,                   0,           0.0053414,                   1,           0.0054372,           0.0016311,            0.029416,            0.024886,                   0,          0.00068383,          0.00068383,            0.093684
                   8,            0.033354,            0.028993,                   0,            0.032701,                   1,             0.03431,            0.003431,            0.028941,             0.02473,                   0,          0.00077888,          0.00077888,            0.092779
                   9,            0.077393,            0.032136,                   0,            0.031458,                   1,            0.033167,           0.0033167,            0.028578,            0.024511,                   0,          0.00087327,          0.00087327,            0.091873
                  10,            0.080529,            0.031861,                   0,            0.025126,                   1,            0.025513,           0.0025513,            0.028159,            0.024344,                   0,            0.000967,            0.000967,            0.090967
                  11,            0.077489,             0.03191,                   0,            0.025368,             0.98937,            0.025513,           0.0025513,            0.027408,            0.024171,                   0,           0.0010601,           0.0010601,             0.09006
                  12,            0.078913,             0.03149,                   0,            0.025907,                   1,            0.027639,           0.0055278,            0.025723,             0.02413,                   0,           0.0011525,           0.0011525,            0.089152
                  13,            0.076267,            0.036783,                   0,            0.042916,             0.94415,            0.045227,            0.013568,            0.024647,            0.023948,                   0,           0.0012442,           0.0012442,            0.088244
                  14,            0.075643,            0.030926,                   0,            0.021169,                   1,             0.02314,            0.002314,            0.025534,            0.023581,                   0,           0.0013353,           0.0013353,            0.087335
                  15,            0.067493,            0.030943,                   0,            0.021099,                   1,             0.02163,           0.0043261,            0.021768,            0.023751,                   0,           0.0014257,           0.0014257,            0.086426
                  16,            0.074751,            0.030218,                   0,            0.037267,                   1,            0.038269,            0.011481,            0.019639,            0.023718,                   0,           0.0015155,           0.0015155,            0.085516
                  17,            0.066959,            0.037969,                   0,            0.037267,                   1,            0.038269,            0.011481,            0.019639,            0.023718,                   0,           0.0016046,           0.0016046,            0.084605
                  18,            0.072233,            0.032688,                   0,            0.075641,                   1,            0.076538,            0.053577,            0.017726,             0.02379,                   0,           0.0016931,           0.0016931,            0.083693
                  19,            0.067537,            0.033574,                   0,            0.075641,                   1,            0.076538,            0.053577,            0.017726,             0.02379,                   0,           0.0017809,           0.0017809,            0.082781
                  20,            0.063696,            0.033518,                   0,              0.1661,                   1,               0.199,              0.0597,            0.016807,            0.023855,                   0,            0.001868,            0.001868,            0.081868
                  21,              0.0684,            0.029928,                   0,              0.1661,                   1,               0.199,              0.0597,            0.016807,            0.023855,                   0,           0.0019545,           0.0019545,            0.080954
                  22,            0.074049,            0.029737,                   0,              0.2343,              0.9372,             0.24875,             0.04975,            0.020721,            0.023274,                   0,           0.0020403,           0.0020403,             0.08004
                  23,            0.057157,            0.032917,                   0,              0.2343,              0.9372,             0.24875,             0.04975,            0.020721,            0.023274,                   0,           0.0021254,           0.0021254,            0.079125
                  24,            0.068223,             0.03276,                   0,            0.046785,                   1,            0.047381,           0.0047381,            0.022091,            0.022912,                   0,           0.0022099,           0.0022099,             0.07821
                  25,            0.063503,            0.037918,                   0,            0.046785,                   1,            0.047381,           0.0047381,            0.022091,            0.022912,                   0,           0.0022938,           0.0022938,            0.077294
                  26,            0.067427,             0.03673,                   0,             0.24804,                   1,             0.24875,            0.074625,            0.022986,            0.022277,                   0,           0.0023769,           0.0023769,            0.076377
                  27,            0.067536,            0.029639,                   0,             0.24804,                   1,             0.24875,            0.074625,            0.022986,            0.022277,                   0,           0.0024594,           0.0024594,            0.075459
